Reference,Billing Supplier,Billing Supplier Acc. No,Bill Reference,Date,Amount,Payment Type
,Bridgestone Australia,"",89225918,2023-03-31 00:00:00 +1000,5940.0,other
,ENIRGI POWER STORAGE PTY LTD,"",SI5319,2023-03-24 00:00:00 +1000,1263.58,other
3940349758,REPCO Chinchilla,"",3940349347,2023-03-09 17:34:52 +1000,242.0,unspecified
3940353437,REPCO Chinchilla,"",3940349364,2023-04-20 00:00:00 +1000,13.45,unspecified
,TOP TYRES AUSTRAILIA PTY LTD,"",1625452,2023-05-02 00:00:00 +1000,189.2,other
,TYREMAX,"",5517741/01,2023-05-02 00:00:00 +1000,1347.1,other
,TREADCARE QLD PTY LTD,,Q2492,2023-05-02 00:00:00 +1000,327.8,other
3940351444,REPCO Chinchilla,"",3940349676,2023-03-28 14:30:34 +1000,86.45,unspecified
3940353437,REPCO Chinchilla,"",3940349676,2023-04-20 00:00:00 +1000,416.1,unspecified
3940351440,REPCO Chinchilla,"",3940349597,2023-03-28 14:29:28 +1000,42.08,unspecified
3940351429,REPCO Chinchilla,"",3940349597,2023-03-28 11:18:36 +1000,278.3,unspecified
3940353437,REPCO Chinchilla,"",3940349597,2023-04-20 00:00:00 +1000,24.65,unspecified
,EXCLUSIVE TYRES,"",10865797,2023-05-02 00:00:00 +1000,1381.6,other
,TYRES 4U,"",ES937574,2023-05-30 00:00:00 +1000,408.98,other
,TYRES 4U,"",ES938020,2023-05-30 00:00:00 +1000,219.78,other
,TYRES 4U,"",ES937773,2023-05-30 00:00:00 +1000,6050.0,other
,TYRES 4U,"",ES937875,2023-05-30 00:00:00 +1000,748.0,other
,TYRES 4U,"",ES937772,2023-05-30 00:00:00 +1000,3025.0,other
,ATLAS TYRES,"",27149,2023-03-31 00:00:00 +1000,3027.2,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1626610,2023-05-02 00:00:00 +1000,374.0,other
,REPCO Chinchilla,"",3940348058-1,2023-03-31 00:00:00 +1000,8156.25,other
3940353437,REPCO Chinchilla,"",3940349814,2023-04-20 00:00:00 +1000,301.57,unspecified
3940353436,REPCO Chinchilla,"",3940349814,2023-04-20 19:05:17 +1000,568.13,unspecified
,REPCO Chinchilla,"",3940349814,2023-03-09 00:00:00 +1000,2501.55,other
,TYRES 4U,"",ES938334,2023-05-30 00:00:00 +1000,327.91,other
,TYRES 4U,"",ES938335,2023-05-30 00:00:00 +1000,1026.26,other
,TYRES 4U,"",ES938333,2023-05-30 00:00:00 +1000,3065.04,other
,TYREMAX,"",5520378,2023-05-02 00:00:00 +1000,1513.25,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1627136,2023-05-02 00:00:00 +1000,233.2,other
,TYRES 4U,"",ES938324,2023-05-30 00:00:00 +1000,1772.1,other
,ENIRGI POWER STORAGE PTY LTD,"",TIN51,2023-04-25 00:00:00 +1000,1778.02,other
,ENIRGI POWER STORAGE PTY LTD,"",B86TIN25,2023-04-25 00:00:00 +1000,699.35,other
,TYRES 4U,"",ES938387,2023-05-30 00:00:00 +1000,2288.0,other
CST - Thornproof Tube - 20 x 1.9/2.125 - SV,KWT Imports,"",K323881,2023-03-14 15:01:58 +1000,280.5,unspecified
,KWT Imports,"",K323881,2023-05-02 00:00:00 +1000,145.38,other
3940351442,REPCO Chinchilla,"",3940350169,2023-03-28 14:33:21 +1000,525.69,unspecified
,REPCO Chinchilla,"",3940350169,2023-03-09 00:00:00 +1000,815.93,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1627317,2023-05-02 00:00:00 +1000,88.0,other
3940351443,REPCO Chinchilla,"",3940350114,2023-03-28 14:31:34 +1000,232.1,unspecified
,REPCO Chinchilla,"",3940350114,2023-03-09 00:00:00 +1000,784.7,other
,NETA TIRE SERVICE & SALES P/L,"",1760704,2023-05-02 00:00:00 +1000,148.26,other
,TYRES 4U,"",ES938885,2023-05-30 00:00:00 +1000,365.59,other
,TYRES 4U,"",ES938259,2023-05-30 00:00:00 +1000,807.75,other
,TYRES 4U,"",ES939021,2023-05-30 00:00:00 +1000,9570.0,other
,Clifton Motors,,00112159,2023-03-16 15:27:20 +1000,385.0,eftpos
,Clifton Motors,,00112159,2023-03-16 15:27:50 +1000,25.0,eftpos
3940351441,REPCO Chinchilla,"",3940350362,2023-03-28 14:32:26 +1000,491.93,unspecified
,REPCO Chinchilla,"",3940350362,2023-03-09 00:00:00 +1000,79.86,other
,REPCO Chinchilla,"",3940350490,2023-03-09 00:00:00 +1000,180.18,other
,ATLAS TYRES,"",27052,2023-03-31 00:00:00 +1000,2354.0,other
,ENIRGI POWER STORAGE PTY LTD,"",B86TIN34,2023-04-25 00:00:00 +1000,873.1,other
,Toyo Tyre Australia pty ltd,"",231203505,2023-05-02 00:00:00 +1000,970.2,other
,TYRES 4U,"",SO500052,2023-05-30 00:00:00 +1000,3190.0,other
,CAPRICORN,049088-1,B27TIN62,2023-04-25 00:00:00 +1000,458.26,other
,THE POWER SOURCE,,050193,2023-03-30 00:00:00 +1000,507.45,other
,REPCO Chinchilla,"",3940350691,2023-03-09 00:00:00 +1000,44.0,other
,TYRES 4U,"",ES939499,2023-05-30 00:00:00 +1000,1980.0,other
,BSC MOTION TECHNOLOGY,"",SC42-0000089228,2023-03-22 12:44:37 +1000,278.87,credit
,TOP TYRES AUSTRAILIA PTY LTD,"",1628436,2023-05-02 00:00:00 +1000,712.8,other
2459694,DYNAMIC WHEELS,"",2456959,2023-04-06 10:21:03 +1000,92.4,unspecified
3940355114,REPCO Chinchilla,"",3940350975,2023-05-10 17:03:43 +1000,31.9,unspecified
,REPCO Chinchilla,"",3940350975,2023-03-09 00:00:00 +1000,267.3,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN72,2023-04-25 00:00:00 +1000,963.46,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1628638,2023-05-02 00:00:00 +1000,330.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1629279,2023-05-02 00:00:00 +1000,365.2,other
,DYNAMIC WHEELS,"",2457343,2023-05-02 00:00:00 +1000,92.4,other
,TYRES 4U,"",ES940015,2023-05-30 00:00:00 +1000,981.75,other
,TYRES 4U,"",ES939963,2023-05-30 00:00:00 +1000,6270.0,other
,TYRES 4U,"",ES939163,2023-05-30 00:00:00 +1000,514.8,other
3940355113,REPCO Chinchilla,"",3940351022,2023-05-10 17:02:45 +1000,359.7,unspecified
,TYRES 4U,"",ES940094,2023-05-30 00:00:00 +1000,912.21,other
,TECHKING AUSTRALIA,"",00010301,2023-05-30 00:00:00 +1000,3071.2,other
,TYRES 4U,"",ES940334,2023-05-30 00:00:00 +1000,561.0,other
,TYRES 4U,"",ES940448,2023-05-30 00:00:00 +1000,1349.04,other
,TYRES 4U,"",ES940449,2023-05-30 00:00:00 +1000,1245.45,other
,TYRES 4U,"",ES940447,2023-05-30 00:00:00 +1000,1245.45,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1629693,2023-05-02 00:00:00 +1000,90.2,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1629695,2023-05-02 00:00:00 +1000,46.2,other
,TYRES 4U,"",SO500053,2023-05-30 00:00:00 +1000,1628.0,other
,TYRES 4U,"",ES940446,2023-05-30 00:00:00 +1000,1188.0,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN93,2023-04-25 00:00:00 +1000,2472.24,other
,REPCO Chinchilla,"",3940351399,2023-03-09 00:00:00 +1000,145.2,other
EC044185,TYRES 4U,"",SO500054,2023-03-24 08:32:56 +1000,970.2,unspecified
,TYRES 4U,"",SO500054,2023-05-30 00:00:00 +1000,128.7,other
,Toyo Tyre Australia pty ltd,"",,2023-05-02 00:00:00 +1000,943.25,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1630024,2023-05-02 00:00:00 +1000,3102.0,other
,RON ANGEL WHOLESALE,"",SINV290225,2023-05-02 00:00:00 +1000,13.97,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1630153,2023-05-02 00:00:00 +1000,1161.8,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1630361,2023-05-02 00:00:00 +1000,242.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1630731,2023-05-02 00:00:00 +1000,545.6,other
,TYRES 4U,"",ES941245,2023-05-30 00:00:00 +1000,641.78,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1630800,2023-05-02 00:00:00 +1000,484.0,other
,TYRES 4U,"",1X036948,2023-05-30 00:00:00 +1000,1298.81,other
,TYRES 4U,"",1X036937,2023-05-30 00:00:00 +1000,10410.4,other
,FREEDOM TYRES,"",04077816,2023-05-02 00:00:00 +1000,1713.8,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1630434,2023-05-02 00:00:00 +1000,246.4,other
,TYRES 4U,"",ES940911,2023-05-30 00:00:00 +1000,1678.34,other
,TYRES 4U,"",ES940915,2023-05-30 00:00:00 +1000,459.8,other
,DYNAMIC WHEELS,"",2458310,2023-05-02 00:00:00 +1000,85.8,other
,REMA TIP TOP AUSTRALIA PTY LTD,"",1935767,2023-05-02 00:00:00 +1000,1282.87,other
,REMA TIP TOP AUSTRALIA PTY LTD,"",1935765,2023-05-02 00:00:00 +1000,2803.9,other
,REPCO Chinchilla,"",3940351841,2023-03-09 00:00:00 +1000,255.87,other
,REPCO Chinchilla,"",3940351841,2024-05-08 18:53:30 +1000,103.83,eft
,TOP TYRES AUSTRAILIA PTY LTD,"",1630967,2023-05-30 00:00:00 +1000,1056.0,other
,RON ANGEL WHOLESALE,"",SINV290346,2023-05-30 00:00:00 +1000,181.64,other
,TYRES 4U,"",ES941584,2023-06-29 00:00:00 +1000,331.14,other
,TYRES 4U,"",ES941495,2024-05-08 18:45:14 +1000,341.0,eft
,TYRES 4U,"",ES941583,2023-06-29 00:00:00 +1000,787.25,other
,TYRES 4U,"",ES941574,2023-06-29 00:00:00 +1000,2388.62,other
,TYRES 4U,"",ES941574,2023-06-30 00:00:00 +1000,2388.62,other
,Bridgestone Australia,"",89431043,2023-05-02 00:00:00 +1000,11768.33,other
,Repco,"",3940351720,2023-03-09 00:00:00 +1000,102.85,other
,TYRES 4U,"",ES941394,2023-05-30 00:00:00 +1000,380.07,other
,REPCO Chinchilla,"",3940351774,2023-03-09 00:00:00 +1000,60.02,other
,DYNAMIC WHEELS,"",2458655,2023-05-02 00:00:00 +1000,53.9,other
,REPCO Chinchilla,"",3940351775,2023-03-09 00:00:00 +1000,30.01,other
413577,Baxters MTQ,6_2,209450,2023-04-05 13:16:44 +1000,572.65,credit
413577,Baxters MTQ,6_2,202460,2023-04-05 13:21:57 +1000,230.4,credit
413577,Baxters MTQ,6_2,204555,2023-04-05 15:00:58 +1000,1238.28,credit
413577,Baxters MTQ,6_2,204724,2023-04-05 15:10:51 +1000,847.78,credit
403577,Baxters MTQ,6_2,204853,2023-04-05 15:15:52 +1000,152.44,credit
,Baxters MTQ,6_2,204952,2023-04-05 15:19:01 +1000,278.14,credit
,Savcom,"",UN3099,2023-05-25 00:00:00 +1000,230.96,other
,TYRES 4U,"",ES941720,2023-06-29 00:00:00 +1000,6270.0,other
,TYRES 4U,"",ES942023,2023-06-29 00:00:00 +1000,887.04,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1631849,2023-05-30 00:00:00 +1000,429.0,other
,TYRES 4U,"",ES942028,2023-06-29 00:00:00 +1000,286.0,other
,REPCO Chinchilla,"",3940352143,2024-05-08 18:53:30 +1000,42.08,eft
,TOP TYRES AUSTRAILIA PTY LTD,"",1631583,2023-05-30 00:00:00 +1000,369.6,other
,FREEDOM TYRES,"",04078039,2023-05-30 00:00:00 +1000,2939.2,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN116,2023-05-25 00:00:00 +1000,283.6,other
,CAPRICORN,049088-1,306080A,2023-05-25 00:00:00 +1000,235.3,other
,MX Store,378949,N102632994,2023-04-06 09:46:35 +1000,63.9,credit
,Black Truck & AG,"",1766462,2024-05-08 19:02:08 +1000,20.13,eft
,TOP TYRES AUSTRAILIA PTY LTD,"",1632072,2023-05-30 00:00:00 +1000,266.2,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632083,2023-05-30 00:00:00 +1000,418.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632082,2023-05-30 00:00:00 +1000,1100.0,other
,TYREMAX,"",5559701/01,2023-05-30 00:00:00 +1000,1419.26,other
,TYREMAX,"",5559686/01,2023-05-30 00:00:00 +1000,951.46,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632357,2023-05-30 00:00:00 +1000,367.4,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632276,2023-05-30 00:00:00 +1000,827.2,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN128,2023-05-25 00:00:00 +1000,1050.8,other
,REPCO Chinchilla,"",3940352647,2024-05-08 18:53:30 +1000,48.4,eft
,TYRES 4U,"",ES942822,2023-06-29 00:00:00 +1000,3135.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632732,2023-05-30 00:00:00 +1000,171.6,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN121,2023-05-25 00:00:00 +1000,1459.08,other
,TREADCARE QLD PTY LTD,,Q2645,2023-05-30 00:00:00 +1000,6648.4,other
78104-2,TOP TYRES AUSTRAILIA PTY LTD,"",1632502,2023-04-18 13:05:26 +1000,1817.2,unspecified
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN54,2023-04-25 00:00:00 +1000,3167.49,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632451,2023-05-30 00:00:00 +1000,290.4,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632515,2023-05-30 00:00:00 +1000,704.0,other
,REMA TIP TOP AUSTRALIA PTY LTD,"",1926929,2023-05-02 00:00:00 +1000,50.69,other
,BLACK TOYOTA,"",OR33081415,2023-05-30 00:00:00 +1000,1557.62,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN132,2023-05-25 00:00:00 +1000,1799.97,other
,REPCO Chinchilla,"",3940352847,2024-05-08 18:53:30 +1000,626.66,eft
,TOP TYRES AUSTRAILIA PTY LTD,"",1633185,2023-05-30 00:00:00 +1000,2138.4,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632971,2023-05-30 00:00:00 +1000,180.4,other
,REPCO Chinchilla,"",3940352832,2024-05-08 18:53:30 +1000,110.34,eft
,REPCO Chinchilla,"",3940352751,2024-05-08 18:53:30 +1000,16.5,eft
,FREEDOM TYRES,"",04078206,2023-05-30 00:00:00 +1000,1874.62,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1632974,2023-05-30 00:00:00 +1000,85.8,other
,BSC MOTION TECHNOLOGY,"",TW410000380732,2023-05-30 00:00:00 +1000,497.42,other
,BSC MOTION TECHNOLOGY,"",TW410000380842,2023-05-30 00:00:00 +1000,27.81,other
,TYRES 4U,"",ES943236,2023-06-29 00:00:00 +1000,295.02,other
,TYRES 4U,"",ES943175,2023-06-29 00:00:00 +1000,732.6,other
,TYREMAX,"",5564510/01,2023-05-30 00:00:00 +1000,254.67,other
ROKINV003474,Dobinsons,,ROKINV003474,2023-04-14 11:58:53 +1000,2707.97,credit
,TYRES 4U,"",ES943702,2023-06-29 00:00:00 +1000,337.26,other
78104,TOP TYRES AUSTRAILIA PTY LTD,"",78104,2023-04-18 13:04:47 +1000,1817.2,unspecified
,Savcom,"",UN3120,2023-05-25 00:00:00 +1000,354.88,other
,REPCO Chinchilla,"",3940353159,2023-05-30 00:00:00 +1000,213.56,other
,REPCO Chinchilla,"",3940353159,2023-05-31 00:00:00 +1000,213.56,other
,REPCO Chinchilla,"",3940353159,2024-05-08 18:53:30 +1000,33.78,eft
,FREEDOM TYRES,"",04078356,2023-05-30 00:00:00 +1000,2059.2,other
,TYRES 4U,"",ES943701,2023-06-29 00:00:00 +1000,1408.92,other
EC044198,TYRES 4U,"",ES943704,2023-03-29 08:28:59 +1000,1295.1,unspecified
,TYRES 4U,"",ES943704,2023-06-29 00:00:00 +1000,1408.92,other
EC044198,TYRES 4U,"",ES943703,2023-03-29 08:28:59 +1000,1080.9,unspecified
,REMA TIP TOP AUSTRALIA PTY LTD,"",1939533,2023-05-30 00:00:00 +1000,580.23,other
,Wandoan Home Hardware,,,2023-05-30 00:00:00 +1000,29.95,other
,TYRES 4U,"",1X036318,2023-05-31 09:28:35 +1000,3213.1,unspecified
,TYRES 4U,"",ES943914,2023-06-29 00:00:00 +1000,2521.42,other
,TYRES 4U,"",SO500058,2023-06-29 00:00:00 +1000,2515.15,other
,TYRES 4U,"",ES943851,2023-06-29 00:00:00 +1000,1416.8,other
,BSC MOTION TECHNOLOGY,"",TW41-0000381281,2023-05-30 00:00:00 +1000,14.09,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1634332,2023-05-30 00:00:00 +1000,847.0,other
,TYRES 4U,"",ES943921,2023-06-29 00:00:00 +1000,3762.0,other
,TYRES 4U,"",ES943689,2023-06-29 00:00:00 +1000,1514.7,other
,TYRES 4U,"",ES943707,2023-06-29 00:00:00 +1000,111.87,other
,TYRES 4U,"",ES943393,2023-06-29 00:00:00 +1000,1514.7,other
,Wandoan Home Hardware,,101091436,2023-05-30 00:00:00 +1000,19.95,other
,Wandoan Home Hardware,,101091452,2023-05-30 00:00:00 +1000,17.95,other
,Wandoan Home Hardware,,101091428,2023-05-30 00:00:00 +1000,24.95,other
,TREADCARE QLD PTY LTD,,Q2712,2023-05-30 00:00:00 +1000,6006.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1634962,2023-05-30 00:00:00 +1000,466.4,other
,Wandoan Home Hardware,,101091524,2023-05-30 00:00:00 +1000,22.45,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1635265,2023-05-30 00:00:00 +1000,567.6,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1635129,2023-05-30 00:00:00 +1000,237.6,other
,TYRES 4U,"",SO500059,2023-06-29 00:00:00 +1000,1412.4,other
,Wandoan Home Hardware,,101091500,2023-05-30 00:00:00 +1000,3.95,other
,TYRES 4U,"",ES943649,2023-06-29 00:00:00 +1000,1199.88,other
,TYRES 4U,"",ES944713,2023-06-29 00:00:00 +1000,6270.0,other
,TYRES 4U,"",ES944356,2023-06-29 00:00:00 +1000,658.24,other
,TYRES 4U,"",ES944908,2023-06-29 00:00:00 +1000,3448.5,other
,TYRES 4U,"",ES944952,2023-06-29 00:00:00 +1000,84.37,other
,TYRES 4U,"",ES944923,2023-06-29 00:00:00 +1000,165.0,other
,Bridgestone Australia,"",89549815,2023-05-30 00:00:00 +1000,5436.2,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1635552,2023-05-30 00:00:00 +1000,286.0,other
,TYRES 4U,"",SO500060,2023-06-29 00:00:00 +1000,2365.0,other
,Sparesbox,,1716238,2023-04-28 09:51:33 +1000,318.82,credit
,Wheel & Tyre Shop Brisbane,,106,2023-04-30 00:00:00 +1000,440.0,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN172,2023-05-25 00:00:00 +1000,2168.07,other
,ENIRGI POWER STORAGE PTY LTD,"",B86TIN85,2023-05-25 00:00:00 +1000,167.5,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1635878,2023-05-30 00:00:00 +1000,349.8,other
,TYRES 4U,"",ES945183,2023-06-29 00:00:00 +1000,25.03,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1635998,2023-05-30 00:00:00 +1000,440.0,other
,TYREMAX,"",5585469/01,2023-05-30 00:00:00 +1000,2020.66,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1636321,2023-06-30 00:00:00 +1000,69.3,other
,Toyo Tyre Australia pty ltd,"",231206745,2023-06-30 00:00:00 +1000,1445.4,other
,REPCO Chinchilla,"",3940354307,2023-05-30 00:00:00 +1000,124.3,other
,REPCO Chinchilla,"",3940354003,2023-05-30 00:00:00 +1000,79.2,other
3940354001,REPCO Chinchilla,"",3940353959,2023-04-27 12:50:13 +1000,79.2,unspecified
,HASTINGS DEERING,"",2015625743,2023-05-30 00:00:00 +1000,714.36,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1636776,2023-06-30 00:00:00 +1000,233.2,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1636637,2023-06-30 00:00:00 +1000,191.4,other
,TYRES 4U,"",ES945704,2024-05-08 18:45:14 +1000,2640.0,eft
,EXCLUSIVE TYRES,"",10867803,2023-06-30 00:00:00 +1000,1315.86,other
,DYNAMIC WHEELS,"",2463602,2023-06-30 00:00:00 +1000,380.6,other
,REPCO Chinchilla,"",3940354373,2023-06-30 00:00:00 +1000,282.01,other
,REPCO Chinchilla,"",3940354373,2024-05-08 18:53:30 +1000,329.17,eft
,REPCO Chinchilla,"",3940354374,2023-06-30 00:00:00 +1000,232.3,other
,REPCO Chinchilla,"",3940354428,2023-06-30 00:00:00 +1000,56.98,other
,REPCO Chinchilla,"",3940354334,2024-05-08 18:53:30 +1000,36.03,eft
,REPCO Chinchilla,"",3940354344,2024-05-08 18:53:30 +1000,26.4,eft
,TYRES 4U,"",ES945703,2023-07-31 00:00:00 +1000,2530.0,other
,TYRES 4U,"",ES945677,2023-07-31 00:00:00 +1000,3168.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1637091,2023-06-30 00:00:00 +1000,138.6,other
,REPCO Chinchilla,"",3940354914,2023-06-30 00:00:00 +1000,55.55,other
,REPCO Chinchilla,"",3940354912,2023-06-30 00:00:00 +1000,56.1,other
,TYRES 4U,"",ES946397,2023-07-31 00:00:00 +1000,275.67,other
,TYRES 4U,"",ES946293,2023-07-31 00:00:00 +1000,1140.7,other
,TYRES 4U,"",ES946168,2023-07-31 00:00:00 +1000,6270.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1637378,2023-06-30 00:00:00 +1000,690.8,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1637383,2023-06-30 00:00:00 +1000,112.2,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1637430,2023-06-30 00:00:00 +1000,46.2,other
,TYREMAX,"",5592902/01,2023-06-30 00:00:00 +1000,2694.21,other
,TYRES 4U,"",ES946797,2023-07-31 00:00:00 +1000,324.9,other
,TYRES 4U,"",ES946503,2023-07-31 00:00:00 +1000,67.21,other
,TYRES 4U,"",ES946796,2023-07-31 00:00:00 +1000,259.25,other
3940355097,REPCO Chinchilla,"",3940355046,2023-05-10 17:01:36 +1000,348.7,unspecified
,REPCO Chinchilla,"",3940355046,2023-06-30 00:00:00 +1000,30.0,other
,NETA TIRE SERVICE & SALES P/L,"",1784743,2023-06-30 00:00:00 +1000,1056.0,other
,TYRES 4U,"",ES946332,2023-07-31 00:00:00 +1000,3376.56,other
,TYRES 4U,"",ES946910,2023-07-31 00:00:00 +1000,832.26,other
,TYRES 4U,"",ES947086,2023-07-31 00:00:00 +1000,243.17,other
,TYRES 4U,"",ES947126,2023-07-31 00:00:00 +1000,459.69,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1638499,2023-06-30 00:00:00 +1000,2706.0,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1638553,2023-06-30 00:00:00 +1000,195.8,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1638750,2023-06-30 00:00:00 +1000,253.0,other
,TYRES 4U,"",ES947403,2023-07-31 00:00:00 +1000,1772.1,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN185,2024-05-08 19:15:43 +1000,1137.08,eft
,REPCO Chinchilla,"",3940354546,2023-06-30 00:00:00 +1000,101.43,other
3940355095,REPCO Chinchilla,"",3940354691,2023-05-10 17:07:44 +1000,594.44,unspecified
,REPCO Chinchilla,"",3940355007,2023-06-30 00:00:00 +1000,478.36,other
,REPCO Chinchilla,"",3940355494,2023-06-30 00:00:00 +1000,279.4,other
,REPCO Chinchilla,"",3940355706,2023-06-30 00:00:00 +1000,95.15,other
,REPCO Chinchilla,"",3940355646,2023-06-30 00:00:00 +1000,143.87,other
,HASTINGS DEERING,"",2015643714,2023-06-30 00:00:00 +1000,1072.71,other
,TYRES 4U,"",ES946573,2023-07-31 00:00:00 +1000,2817.85,other
,TYRES 4U,"",ES946574,2023-07-31 00:00:00 +1000,1430.55,other
,TYRES 4U,"",ES946575,2023-07-31 00:00:00 +1000,1408.92,other
,TYRES 4U,"",ES946576,2023-07-31 00:00:00 +1000,1412.4,other
,TYRES 4U,"",ES946578,2023-07-31 00:00:00 +1000,391.61,other
,TYRES 4U,"",ES946577,2023-07-31 00:00:00 +1000,488.55,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN212,2023-06-25 00:00:00 +1000,3185.59,other
,TYRES 4U,"",ES947479,2023-07-31 00:00:00 +1000,996.51,other
,TYRES 4U,"",ES947411,2023-07-31 00:00:00 +1000,5535.2,other
,TYRES 4U,"",ES945598,2023-07-31 00:00:00 +1000,1953.6,other
,TYRES 4U,"",ES947593,2023-07-31 00:00:00 +1000,235.62,other
,TYRES 4U,"",ES947695,2023-07-31 00:00:00 +1000,1457.76,other
,TYRES 4U,"",ES947693,2023-07-31 00:00:00 +1000,1412.4,other
,TYRES 4U,"",ES947694,2023-07-31 00:00:00 +1000,1512.1,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1639146,2023-06-30 00:00:00 +1000,107.8,other
,BSC MOTION TECHNOLOGY,"",TW41-0000381304,2023-05-30 00:00:00 +1000,8.43,other
,BSC MOTION TECHNOLOGY,"",TW41-0000381608,2023-05-30 00:00:00 +1000,55.37,other
,REPCO Chinchilla,"",3940353805,2023-05-30 00:00:00 +1000,516.32,other
,EXCLUSIVE TYRES,"",10868460,2023-06-30 00:00:00 +1000,876.22,other
,REPCO Chinchilla,"",3940355741,2023-06-30 00:00:00 +1000,61.6,other
,ENIRGI POWER STORAGE PTY LTD,"",B27TIN220,2023-06-25 00:00:00 +1000,3266.51,other
,REMA TIP TOP AUSTRALIA PTY LTD,"",1941704,2023-05-30 00:00:00 +1000,456.73,other
EC04434,TYRES 4U,"",ES947883,2023-06-09 18:09:37 +1000,197.14,unspecified
3940356026,REPCO Chinchilla,"",3940355820,2023-05-19 13:19:30 +1000,181.5,unspecified
,REPCO Chinchilla,"",3940355734,2023-06-30 00:00:00 +1000,28.88,other
,Savcom,"",2136498,2023-06-25 00:00:00 +1000,451.83,other
,Savcom,"",2136498,2024-05-08 18:50:16 +1000,118.8,eft
,BSC MOTION TECHNOLOGY,"",TW41-0000384151,2023-06-30 00:00:00 +1000,31.53,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1639597,2023-06-30 00:00:00 +1000,193.6,other
,TYRES 4U,"",ES947204,2023-07-31 00:00:00 +1000,737.99,other
,TYRES 4U,"",ES947194,2023-07-31 00:00:00 +1000,69.3,other
,TYRES 4U,"",ES947561,2023-07-31 00:00:00 +1000,11189.75,other
,TYRES 4U,"",ES948165,2023-07-31 00:00:00 +1000,1295.36,other
,Bridgestone Australia,"",89674428,2023-06-30 00:00:00 +1000,721.2,other
,REPCO Chinchilla,"",3940355889,2023-06-30 00:00:00 +1000,152.01,other
,TYRES 4U,"",ES948391,2023-07-31 00:00:00 +1000,2640.0,other
,TYRES 4U,"",ES948241,2023-07-31 00:00:00 +1000,585.95,other
,TYRES 4U,"",ES948387,2023-07-31 00:00:00 +1000,2585.0,other
,TYRES 4U,"",ES948238,2023-07-31 00:00:00 +1000,858.0,other
,TYRES 4U,"",ES948265,2023-07-31 00:00:00 +1000,195.91,other
,AUSTRALIAN TYRE TRADERS,"",382367,2023-06-30 00:00:00 +1000,497.2,other
,AUSTRALIAN TYRE TRADERS,"",382367,2024-05-08 18:56:22 +1000,400.4,eft
,Bridgestone Australia,"",89682576,2023-06-30 00:00:00 +1000,284.61,other
